Adresse;Bezeichnung;Größe
3676352;Bildung Status GRA-Lampe;1x1
3712880;Freigabebedingung für die Berechung der Rückwärtsgangerkennung beim Handschalter;1x1
3676353;Schalter für Zustand ENGFAULT bei GRA unterdrücken;1x1
3675976;Umschalter für die Berechnung des Fahrwiderstandes zur Berechnug der Fahrwiderstandsleistung;1x1
3713449;"Freigabebedingung für die Sensorantwort """"Reversible Abschaltung";1x1
3676354;Bei geöffnetem Triebstrang auch im Bremsfall abschalten;1x1
3675986;Schalter(Wechsel), um verschiedenes Verhalten fürOttomotor;1x1
3713450;Berechnungsbedingung für die lokale Bremseninformation;1x1
3712159;Schubabschaltverbot durch ACC-Sensor erlauben;1x1
3712881;Setzmaske für das Retourgang-Aktivierungssignal;1x1
3713451;v/n Verhältnis gleichsetzten;1x1
3713452;Verhältnis v/n bei Aktivierung neu speichern;1x1
3676355;Freigabe der Soft-Stop-Funktion;1x1
3676735;Applikationsschalter für die Deaktivierung des Triebstrangkoordinators bei momentenbasierender ACC;1x1
3675977;Freigabebedingung für die Berechnung des Moduls ACCI_ratedes;1x1
3675687;Auswahlschalter zur Berechnung des wirksamen Schleppmoments;1x1
3675688;Schalter zur Auswahl des minimalen Radmoments für ACC;1x1
3712882;Variantenumscahlter für Beladungserkennung;1x1
3712168;Zeit genommen zu Rampe unten, wenn es ACC1 TO gibt;1x1
3676356;Verzögerung des Abbruchs von Override durch ausreichend positive Sollbeschleunigung;1x1
3675718;Filterzeitkonstante für nichtlineare Filterung der Beschleunigung;6x6
3675978;Verzögerungszeit beim setzen des Freigabebits der Wunschübersetzung;1x1
3676358;Entprellzeit für Momentenanforderung wenn Fahrer bremst;1x1
3676360;Entprellzeit für weitere Momentenanforderung wenn Fahrer bremst;1x1
3674726;Verzögerung für Rücknahme Bremsfreigabe im Übertreten bei Bremse mit a-Schnittstelle;1x1
3676362;Verzögerungszeit für die Ausblendung der Bits 2..5 des Abschaltstatus über CAN;1x1
3676364;Verzögerungszeit nach Kupplung geschlossen zur Überprüfung Triebstrangfehler;1x1
3676366;Verzögerunszeit für Erkennung Kupplung offen;1x1
3676368;Verzögerungszeit für Kupplung getrennt (Handschalter);1x1
3676736;Verzögerung für die Bremse schaltet für hoch, um niedrig zu wechseln;1x1
3676738;Verzögerung für die Bremse schaltet für niedrig, um sich hoch zu ändern;1x1
3675792;Verzögerung Erkennung Kupplung geschlossen;1x1
3712160;Entprellzeit für fehlgeschlagene ESPZwangsaktivierung;1x1
3676740;Zeit fuer die ein anderes Moment verwendet wird;1x1
3675796;Verzögerung der Bremsfreigabe im Resume-above Mode des ACC;1x1
3676742;Entprellzeit für Tür-Auf-Info;1x1
3676744;Zeit für Abschaltbedingung aufgrund Tür-auf;1x1
3712884;Berechnungsparameter für den DT1 gefilterten DT1 Sensorwert;1x1
3676370;Entprellzeit für EPB aktiv;1x1
3675980;T1 Filterzeitkonstante für die Filterung der Fahrwiederstandsleistung;1x1
3712888;Max. Zeitdauer des Einfrierens für verlässliche;1x1
3712892;Verzögerungszeit der ESP-Steuergerät Stillstandserkennung;1x1
3713454;Abschalt-Verzögerungszeit bei der lokalen Gangerkennung;1x1
3676372;Triebstrangschließzeit;1x1
3676374;Entprellzeit für Erkennung geschlossener Triebstrang;1x1
3676376;Verzögerungszeit für reversible Abschaltbedingung wegen HDC aktiv;1x1
3675800;maximale Begrenzungszeit des Reglers bei Schaltvorgang aktiv;1x1
3712896;Einfrierbedingung der zeitverzögerten ESP-Stillstanderkennung;1x1
3676746;Entprellzeit für Hauptschalter Plausibilisierung;1x1
3676378;Verzögerungszeit für Abschaltung aus Ebene 2;1x1
3676748;Verzögerungszeit für Abschaltung aus Ebene 2;1x1
3675982;Zeitverzögerung bei der Reset-condition der Wunschübersetzungsberechnung;1x1
3676380;Ausblendzeit für Drehzahlgrenzen bei aktivierter Kupplung;1x1
3713436;Suspend Delay Mode Totzeit;1x1
3712900;Mindesteinfrierzeit für Steigungsberechnung;1x1
3712904;Filterzeitkonstante für Fahrbahnsteigungswinkel im Stand;1x1
3712908;Zeitverzögerung für PT1-Filter zum Glätten des Fahrbahnsteigungswinkels;1x1
3712912;Filterzeitkonstante für Fahrbahnsteigungswinkelfilterung;1x1
3674728;Zeit für Vorbefüllen/Andocken der Bremse (vormals ACCI_tiPreFill_C, mit großem 'F' geschrieben);1x1
3675804;Zeit für Vorbefüllen/Andocken der Bremse (vormals ACCI_tiPrefill_C, mit kleinem 'f' geschrieben);1x1
3675808;Filterzeit Regelabweichung für Diagnose;1x1
3712916;PT1-Filterzeitkonstante für Querbeschleunigung;1x1
3676750;Zeit zum Aktivwerden von ACCI_stIrvShOff.5 nach T15 EIN oder MSG-Recovery;1x1
3712164;Schnelle Abschalt(rampen)dauer für ACC;1x1
3712166;Langsame Abschalt(rampen)dauer für ACC;1x1
3674732;Zeitkonstante für DT1-Filter Radmoment;1x1
3676382;Verzögerungszeit für Abschaltung wegen Geschwindigkeitsfehler;1x1
3712920;Applizierbare Zeit für Erkennen der Fahrzeugstillstandsinformation über Geschwindigkeitsschwelle;1x1
3676026;Kennfeld zur Bestimmung der Backlash-Filter-Breite;8x9
3674742;Korrekturkennlinie für Radbremsmoment;2x1
3675812;Bremsmomentschwelle für Bremsfreigabe;1x1
3676172;Maximalwert negatives Bremsmoment;1x1
3676176;"Anteil des minimalen Bremsmoments, das durch """"Überlappung"""" vom Motor kompensiert wird";1x1
3676180;Verschiebung der Schubabschalthysterese entsprechend dem minimalen Bremsmoment;1x1
3676184;Verschiebung der Schubabschalthysterese entsprechend dem minimalen Bremsmoment wenn GRA ist ausgewählt;1x1
3676188;Minimal einstellbares Summenradbremsmoment;1x1
3675834;Begrenzungskurve für Bremsmoment abhängig von der Motordrehzahl (Abwürgeschutz);8x1
3674764;Obere Schwelle der Hysterese;1x1
3674768;Untere Schwelle der Hysterese;1x1
3676192;Offset auf Hystereses für Bremsenaktivierung/-deactivierung;1x1
3676208;Bremsmoment für Beginn der Bremsenansteuerung;5x1
3676218;Hysteresebreite für Schubabschaltung;1x1
3675852;Begrenzungsmoment wenn ACC bremst;1x1
3676752;Schwellwert für Momentenanforderung ACC;1x1
3676756;"Schwelle für die Erkennung auf """"Übertreten";1x1
3676238;umgerechnete Fahrzeuggeschwindigkeit (Nm);8x1
3675856;Offset-Wert des ACC-Schleppmoments;1x1
3675860;Offset auf Fahrerwunschmoment in oberer Reglerbegrenzung;1x1
3416188;Bypass Label (verwendet von ASCET), nicht editieren! / Bypass Table Vector Element (verwendet von ASCET), nicht editieren!;1x1
3416189;Bypass Label (verwendet von ASCET), nicht editieren! / Bypass Table Channel Element(verwendet von ASCET), nicht editieren!;1x1
3416190;Bypass Label (verwendet von ASCET), nicht editieren! / Bypass Table Vector Element (verwendet von ASCET), nicht editieren!;1x1
3416191;Bypass Label (verwendet von ASCET), nicht editieren! / Bypass Table Channel Element(verwendet von ASCET), nicht editieren!;1x1
3675864;Offset auf HGB-Begrenzungsmoment;1x1
3676268;minimal darstellbare Einspritzmenge (umgerechnet auf Motormoment);6x1
3675868;Obere Grenze für wirksames Schleppmoment;1x1
3675890;Motormoment-Drehzahlbegrenzungskennlinie;8x1
3676280;Schwelle für Wiedereinsetzen, abhängig vom minimal darstellbaren inneren Moment;1x1
3676384;Delta zur oberen Reglerbegrenzung;1x1
3676776;Offset aus Fahrerwunschmoment;7x1
3676388;"Offset für Erkennung """"Übertreten";1x1
3675908;Applizierbare Momentenschwelle für die Erkennung des Motorbetriebes bei der Überwachung der Regelabweichung (a-Regler);1x1
3675912;Untere Grenze für Beschleunigungsregelung;1x1
3676392;Geschwindigkeitsgrenze für den Übergang ins Halten bei Soft-Stop-Funktion;1x1
3675914;Geschwindigkeitsverlustschwelle für Erkennung auf Überbremsen;1x1
3676394;Geschwinidgkeitsschwelle für Überwachung der Fahrerbremseingriffe;1x1
3676396;Minimale Geschwindigkeit für geschlossenen Triebstrang;1x1
3675916;Geschwindigkeitsgrenze für Übergang in Auto-Hold;1x1
3712924;Applizierbare Geschwindigkeitsschwelle für die Fahrzeugstillstandsinformation (bei entsprechender Codierung von ACCI_swtHalt_C);1x1
3712926;Vergleichswert für die gemessene Fahrgeschwindigkeit zur Statusberechnung der Fahrbahnsteigung;1x1
3736796;Korrekturwert für die Sollbeschleunigung bei Bremse getreten;1x1
3736824;Ermittelt den Korrekturwert für die Sollbeschleunigung der Ebene-1 Beschleunigungsüberwachung.;6x5
3736948;Beschleunigungsschwelle für die Kipppunkterkennung;1x1
3736952;Beschleunigungsfehler ab welchen der Accmon bei externe Eingriffe eingefroren wird;1x1
3416192;Bypass Label (verwendet von ASCET), nicht editieren! / Bypass Table Vector Element (verwendet von ASCET), nicht editieren!;1x1
3416193;Bypass Label (verwendet von ASCET), nicht editieren! / Bypass Table Channel Element(verwendet von ASCET), nicht editieren!;1x1
3736956;Minimal erlaubte Regelabweichung a-Regler, wenn Slip erkannt;1x1
3736960;Maximal erlaubte Regelabweichung a-Regler, wenn Slip erkannt;1x1
3736724;Schwelle Sliperkennung durch Beschleunigung der Einzelräder;1x1
3736920;Sicherheitsfaktor für die zulässige ungefilterte Sollbeschleunigung der Ebene-1 Beschleunigungsüberwachung.;1x1
3736940;Rollreibungskoeffizient der Reifen.;1x1
3736942;Luftwiderstandsbeiwert der Beschleunigungsüberwachung Ebene-1.;1x1
3736964;I-Para. für a-Regler der Beschleunigungsüberwachung Ebene-1 / Verstärkung des I-Glieds bei Kleinsignalen;1x1
3736968;I-Para. für a-Regler der Beschleunigungsüberwachung Ebene-1 / Verstärkung des I-Glieds bei positiven Großsignalen;1x1
3736972;I-Para. für a-Regler der Beschleunigungsüberwachung Ebene-1 / Verstärkung des I-Glieds bei negativen Großsignalen;1x1
3736976;I-Para. für a-Regler der Beschleunigungsüberwachung Ebene-1 / Obere Kleinsignalgrenze für das I-Glied;1x1
3736980;I-Para. für a-Regler der Beschleunigungsüberwachung Ebene-1 / Untere Kleinsignalgrenze für das I-Glied;1x1
3736984;Ersatzparameter für besseres Kipppunktverhalten;1x1
3736988;I-Parameter für a-Regler der Beschleunigungsüberwachung, wenn Slip erkannt / Verstärkung des I-Glieds bei Kleinsignalen;1x1
3736992;I-Parameter für a-Regler der Beschleunigungsüberwachung, wenn Slip erkannt / Verstärkung des I-Glieds bei positiven Großsignalen;1x1
3736996;I-Parameter für a-Regler der Beschleunigungsüberwachung, wenn Slip erkannt / Verstärkung des I-Glieds bei negativen Großsignalen;1x1
3737000;I-Parameter für a-Regler der Beschleunigungsüberwachung, wenn Slip erkannt / Obere Kleinsignalgrenze für das I-Glied;1x1
3737004;I-Parameter für a-Regler der Beschleunigungsüberwachung, wenn Slip erkannt / Untere Kleinsignalgrenze für das I-Glied;1x1
3737008;I-Para. für n-Regler der Beschleunigungsüberwachung Ebene-1 / Verstärkung des I-Glieds bei Kleinsignalen;1x1
3737012;I-Para. für n-Regler der Beschleunigungsüberwachung Ebene-1 / Verstärkung des I-Glieds bei positiven Großsignalen;1x1
3737016;I-Para. für n-Regler der Beschleunigungsüberwachung Ebene-1 / Verstärkung des I-Glieds bei negativen Großsignalen;1x1
3737020;I-Para. für n-Regler der Beschleunigungsüberwachung Ebene-1 / Obere Kleinsignalgrenze für das I-Glied;1x1
3737024;I-Para. für n-Regler der Beschleunigungsüberwachung Ebene-1 / Untere Kleinsignalgrenze für das I-Glied;1x1
3736944;Dynamische Fahrzeugmasse der Beschleunigungsüberwachung Ebene-1.;1x1
3737028;Drehzahl Offset über Leerlaufdrehzahl ab welcher eine Ausblendung der Verlustmomentenkompenstation über den Leerlaufregler beginnt.;1x1
3737038;Maximal zulässige Motordrehzahl, abh. vom Sollmoment, für die Beschleunigungsüberwachung Ebene-1.;3x1
3737056;Drehzahl Offset über Leerlaufdrehzahl ab welcher eine Ausblendung der Verlustmomentenkompenstation über den Leerlaufregler abgeschlossen ist.;1x1
3737060;P-Para. für a-Regler der Beschleunigungsüberwachung Ebene-1 / Verstärkung des P-Glieds bei Kleinsignalen;1x1
3737064;P-Para. für a-Regler der Beschleunigungsüberwachung Ebene-1 / Verstärkung des P-Glieds bei positiven Großsignalen;1x1
3737068;P-Para. für a-Regler der Beschleunigungsüberwachung Ebene-1 / Verstärkung des P-Glieds bei negativen Großsignalen;1x1
3737072;P-Para. für a-Regler der Beschleunigungsüberwachung Ebene-1 / Obere Kleinsignalgrenze für das P-Glied;1x1
3737076;P-Para. für a-Regler der Beschleunigungsüberwachung Ebene-1 / Untere Kleinsignalgrenze für das P-Glied;1x1
3737080;P-Parameter für a-Regler der Beschleunigungsüberwachung, wenn Slip erkannt / Verstärkung des P-Glieds bei Kleinsignalen;1x1
